N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,두산중공업,"13,550",850,+6.69%,"5,000","50,763","374,637",10.20,"5,729,892",-3.45,-37.20,
60,현대건설,"44,650",600,+1.36%,"5,000","49,720","111,356",19.50,"765,230",40.66,1.84,
61,신풍제약,"92,600",600,+0.65%,500,"49,064","52,985",11.72,"559,107","1,017.58",1.72,
62,삼성중공업,"7,740",500,+6.91%,"5,000","48,762","630,000",15.82,"45,991,622",-3.29,-33.06,
63,한국금융지주,"86,800",0,0.00%,"5,000","48,370","55,726",31.52,"131,070",6.19,16.27,
64,이마트,"173,500","2,000",-1.14%,"5,000","48,365","27,876",30.19,"51,392",13.37,4.05,
65,코웨이,"65,300",0,0.00%,500,"48,191","73,800",58.61,"108,740",11.90,31.51,
66,LG이노텍,"202,500","3,000",-1.46%,"5,000","47,926","23,667",30.14,"95,209",20.30,10.20,
67,KODEX 200,"41,980",75,+0.18%,0,"47,605","113,400",10.17,"2,371,948",N/A,N/A,
68,SKC,"123,500","1,500",+1.23%,"5,000","46,767","37,868",8.80,"137,917",124.87,2.21,
69,현대중공업지주,"295,500","4,500",+1.55%,"5,000","46,685","15,799",17.77,"74,587",-38.72,-8.12,
70,녹십자,"373,500","16,500",+4.62%,"5,000","43,649","11,687",18.63,"59,974",53.86,7.48,
71,맥쿼리인프라,"11,700",100,+0.86%,0,"43,547","372,192",15.20,"465,390",N/A,N/A,
72,CJ대한통운,"189,000","4,000",+2.16%,"5,000","43,115","22,812",21.90,"40,745",35.05,3.89,
73,유한양행,"61,400",300,-0.49%,"1,000","42,963","69,973",19.29,"85,298",22.67,11.06,
74,두산밥캣,"42,550","3,000",+7.59%,500,"42,656","100,249",23.39,"677,863",17.24,6.15,
75,삼성카드,"33,700",150,-0.44%,"5,000","39,044","115,859",11.26,"46,238",9.47,5.04,
76,한미사이언스,"57,900",800,-1.36%,500,"38,969","67,305",1.56,"55,363",172.32,3.47,
